Distance_(m),Gray_Value
0.0460059,66.850
0.0460662,65.745
0.0461265,63.753
0.0461868,60.086
0.0462471,56.509
0.0463074,56.285
0.0463677,56.599
0.0464280,57.131
0.0464883,58.007
0.0465486,60.210
0.0466089,61.315
0.0466691,61.172
0.0467294,60.779
0.0467897,61.082
0.0468500,61.989
0.0469103,60.936
0.0469706,59.408
0.0470309,57.356
0.0470912,57.824
0.0471515,56.378
0.0472118,50.543
0.0472721,47.828
0.0473324,43.719
0.0473927,39.951
0.0474530,38.367
0.0475133,37.146
0.0475736,37.757
0.0476339,36.000
0.0476942,26.333
0.0477545,24.000
0.0478148,23.000
0.0478751,21.921
0.0479354,21.356
0.0479957,18.963
0.0480560,15.363
0.0481163,14.000
0.0481765,11.371
0.0482368,13.985
0.0482971,15.000
0.0483574,14.011
0.0484177,14.022
0.0484780,13.034
0.0485383,14.378
0.0485986,16.779
0.0486589,23.086
0.0487192,23.071
0.0487795,20.910
0.0488398,21.333
0.0489001,21.779
0.0489604,24.835
0.0490207,28.730
0.0490810,32.562
0.0491413,35.105
0.0492016,37.390
0.0492619,40.180
0.0493222,42.730
0.0493825,43.468
0.0494428,46.262
0.0495031,50.734
0.0495634,53.116
0.0496237,56.509
0.0496840,56.558
0.0497442,57.281
0.0498045,58.251
0.0498648,59.165
0.0499251,59.554
0.0499854,59.637
0.0500457,60.581
0.0501060,60.217
0.0501663,61.404
0.0502266,62.494
0.0502869,63.517
0.0503472,63.727
0.0504075,62.678
0.0504678,60.667
0.0505281,60.000
0.0505884,58.000
0.0506487,57.708
0.0507090,58.401
0.0507693,58.386
0.0508296,59.352
0.0508899,60.367
0.0509502,61.839
0.0510105,62.670
0.0510708,66.011
0.0511311,66.963
0.0511914,66.846
0.0512516,67.401
0.0513119,67.854
0.0513722,67.573
0.0514325,67.554
0.0514928,67.944
0.0515531,68.180
0.0516134,67.764
0.0516737,67.112
0.0517340,65.412
0.0517943,64.596
0.0518546,63.236
0.0519149,62.195
0.0519752,61.715
0.0520355,62.446
0.0520958,62.307
0.0521561,62.363
0.0522164,62.476
0.0522767,62.700
0.0523370,62.573
0.0523973,62.532
0.0524576,61.607
0.0525179,59.071
0.0525782,56.536
0.0526385,56.034
0.0526988,59.959
0.0527590,64.513
0.0528193,67.910
0.0528796,65.064
0.0529399,61.360
0.0530002,57.288
0.0530605,56.262
0.0531208,55.202
0.0531811,54.483
0.0532414,53.157
0.0533017,51.180
0.0533620,50.169
0.0534223,48.816
0.0534826,46.536
0.0535429,46.127
0.0536032,47.052
0.0536635,46.333
0.0537238,45.614
0.0537841,43.569
0.0538444,40.232
0.0539047,38.865
0.0539650,36.536
0.0540253,34.176
0.0540856,31.790
0.0541459,29.730
0.0542062,29.861
0.0542664,27.921
0.0543267,26.296
0.0543870,24.839
0.0544473,26.041
0.0545076,25.757
0.0545679,24.607
0.0546282,22.948
0.0546885,21.903
0.0547488,19.064
0.0548091,17.382
0.0548694,15.442
0.0549297,16.116
0.0549900,13.506
0.0550503,12.139
0.0551106,9.974
0.0551709,9.730
0.0552312,8.652
0.0552915,6.000
0.0553518,5.476
0.0554121,5.326
0.0554724,5.663
0.0555327,4.419
0.0555930,4.041
0.0556533,5.011
0.0557136,4.363
0.0557739,5.000
0.0558341,4.404
0.0558944,3.921
0.0559547,4.434
0.0560150,2.603
0.0560753,0.918
0.0561356,0.539
0.0561959,1.408
0.0562562,3.873
0.0563165,6.517
0.0563768,8.667
0.0564371,7.483
0.0564974,5.472
0.0565577,3.794
0.0566180,2.966
0.0566783,2.397
0.0567386,4.045
0.0567989,4.442
0.0568592,7.539
0.0569195,8.727
0.0569798,10.333
0.0570401,11.629
0.0571004,12.427
0.0571607,12.667
0.0572210,13.004
0.0572813,13.667
0.0573415,10.067
0.0574018,10.506
0.0574621,12.056
0.0575224,12.801
0.0575827,14.000
0.0576430,15.667
0.0577033,16.333
0.0577636,17.764
0.0578239,14.633
0.0578842,16.667
0.0579445,18.202
0.0580048,19.191
0.0580651,21.060
0.0581254,22.056
0.0581857,22.543
0.0582460,23.715
0.0583063,21.270
0.0583666,21.787
0.0584269,23.225
0.0584872,24.869
0.0585475,26.757
0.0586078,26.491
0.0586681,28.333
0.0587284,28.333
0.0587887,30.075
0.0588490,29.378
0.0589092,27.719
0.0589695,26.682
0.0590298,27.333
0.0590901,26.644
0.0591504,27.955
0.0592107,28.210
0.0592710,27.989
0.0593313,27.217
0.0593916,25.217
0.0594519,26.195
0.0595122,27.854
0.0595725,28.861
0.0596328,28.734
0.0596931,27.674
0.0597534,25.307
0.0598137,24.041
0.0598740,22.176
0.0599343,21.498
0.0599946,22.154
0.0600549,25.030
0.0601152,28.052
0.0601755,30.292
0.0602358,29.603
0.0602961,26.682
0.0603564,24.596
0.0604167,24.311
0.0604769,25.255
0.0605372,25.929
0.0605975,25.360
0.0606578,25.322
0.0607181,23.457
0.0607784,26.022
0.0608387,28.419
0.0608990,28.431
0.0609593,26.176
0.0610196,24.431
0.0610799,23.618
0.0611402,24.000
0.0612005,24.921
0.0612608,25.030
0.0613211,25.004
0.0613814,24.270
0.0614417,25.918
0.0615020,25.539
0.0615623,26.824
0.0616226,25.839
0.0616829,29.026
0.0617432,25.985
0.0618035,23.655
0.0618638,20.000
0.0619241,18.154
0.0619843,16.367
0.0620446,15.521
0.0621049,14.285
0.0621652,12.191
0.0622255,10.412
0.0622858,11.738
0.0623461,12.363
0.0624064,11.753
0.0624667,9.906
0.0625270,9.509
0.0625873,9.135
0.0626476,9.086
0.0627079,8.363
0.0627682,8.708
0.0628285,7.974
0.0628888,7.749
0.0629491,8.000
0.0630094,8.225
0.0630697,7.846
0.0631300,8.899
0.0631903,6.367
0.0632506,4.165
0.0633109,2.809
0.0633712,3.303
0.0634314,4.266
0.0634917,5.891
0.0635520,6.719
0.0636123,6.667
0.0636726,5.532
0.0637329,5.296
0.0637932,4.554
0.0638535,4.869
0.0639138,3.996
0.0639741,2.903
0.0640344,2.734
0.0640947,6.348
0.0641550,5.457
0.0642153,3.577
0.0642756,3.644
0.0643359,5.655
0.0643962,6.667
0.0644565,6.655
0.0645168,5.667
0.0645771,5.667
0.0646374,5.712
0.0646977,5.667
0.0647580,4.734
0.0648183,4.745
0.0648786,4.757
0.0649389,5.566
0.0649991,5.554
0.0650594,5.667
0.0651197,6.712
0.0651800,8.000
0.0652403,7.000
0.0653006,5.667
0.0653609,3.667
0.0654212,2.667
0.0654815,3.869
0.0655418,7.427
0.0656021,9.449
0.0656624,12.509
0.0657227,14.172
0.0657830,13.236
0.0658433,10.000
0.0659036,7.000
0.0659639,3.959
0.0660242,14.798
0.0660845,15.476
0.0661448,17.348
0.0662051,17.884
0.0662654,17.869
0.0663257,17.854
0.0663860,17.629
0.0664463,16.824
0.0665065,12.393
0.0665668,13.667
0.0666271,17.584
0.0666874,19.813
0.0667477,20.352
0.0668080,19.468
0.0668683,17.232
0.0669286,16.213
0.0669889,16.861
0.0670492,20.682
0.0671095,24.472
0.0671698,23.105
0.0672301,18.730
0.0672904,15.539
0.0673507,17.517
0.0674110,19.603
0.0674713,20.049
0.0675316,21.333
0.0675919,22.547
0.0676522,21.120
0.0677125,19.461
0.0677728,18.049
0.0678331,18.906
0.0678934,19.798
0.0679537,24.453
0.0680140,24.876
0.0680742,25.067
0.0681345,24.172
0.0681948,22.959
0.0682551,20.948
0.0683154,19.667
0.0683757,19.419
0.0684360,19.663
0.0684963,18.648
0.0685566,17.558
0.0686169,16.547
0.0686772,17.333
0.0687375,19.142
0.0687978,20.427
0.0688581,20.221
0.0689184,13.352
0.0689787,13.228
0.0690390,13.397
0.0690993,13.543
0.0691596,11.446
0.0692199,11.502
